state,developer,temperature_C,hold_s,thickness0_nm,thickness_nm,k_ext
unexposed,tfac,70,2,50,48.93,0.3990
unexposed,tfac,70,5,50,48.85,0.3099
unexposed,tfac,70,10,50,47.79,0.2023
unexposed,tfac,70,20,50,45.50,0.0829
unexposed,tfac,70,40,50,41.49,0.0466
unexposed,tfac,70,80,50,35.71,0.0437
unexposed,tfac,90,2,50,49.35,0.3956
unexposed,tfac,90,5,50,47.04,0.2918
unexposed,tfac,90,10,50,45.17,0.1889
unexposed,tfac,90,20,50,41.45,0.0708
unexposed,tfac,90,40,50,35.21,0.0319
unexposed,tfac,90,80,50,25.47,0.0452
unexposed,tfac,110,2,50,47.75,0.4061
unexposed,tfac,110,5,50,45.78,0.2896
unexposed,tfac,110,10,50,41.45,0.1748
unexposed,tfac,110,20,50,36.47,0.0784
unexposed,tfac,110,40,50,27.03,0.0449
unexposed,tfac,110,80,50,12.27,0.0349
exposed,tfac,70,2,50,50.74,0.4131
exposed,tfac,70,5,50,49.48,0.2958
exposed,tfac,70,10,50,50.59,0.2025
exposed,tfac,70,20,50,49.88,0.1055
exposed,tfac,70,40,50,48.60,0.0435
exposed,tfac,70,80,50,47.02,0.0321
exposed,tfac,90,2,50,49.76,0.3973
exposed,tfac,90,5,50,49.09,0.2892
exposed,tfac,90,10,50,48.48,0.1803
exposed,tfac,90,20,50,47.51,0.0977
exposed,tfac,90,40,50,47.54,0.0439
exposed,tfac,90,80,50,44.29,0.0389
exposed,tfac,110,2,50,49.58,0.4091
exposed,tfac,110,5,50,48.94,0.2774
exposed,tfac,110,10,50,47.55,0.1753
exposed,tfac,110,20,50,44.79,0.0869
exposed,tfac,110,40,50,41.65,0.0344
exposed,tfac,110,80,50,35.99,0.0380
