state,developer,temperature_C,hold_s,thickness0_nm,thickness_nm,k_ext
unexposed,acac,110,1,50,49.22,0.3700
unexposed,acac,110,2,50,48.16,0.2481
unexposed,acac,110,4,50,44.45,0.1227
unexposed,acac,110,8,50,35.90,0.0549
unexposed,acac,110,15,50,24.08,0.0279
unexposed,acac,110,30,50,9.59,0.0426
unexposed,acac,110,60,50,2.20,0.0278
unexposed,acac,110,120,50,0.21,0.0262
exposed,acac,110,1,50,49.57,0.3579
exposed,acac,110,2,50,50.08,0.2543
exposed,acac,110,4,50,50.09,0.1472
exposed,acac,110,8,50,49.33,0.0555
exposed,acac,110,15,50,48.35,0.0344
exposed,acac,110,30,50,46.42,0.0253
exposed,acac,110,60,50,44.52,0.0239
exposed,acac,110,120,50,39.55,0.0327
